Fecha,Proyecto,Cadena,Sucursal,Upc,Item,Nombre,CostoUnidad,VentasUnidades,VentasImporte,ExistenciasUnidades,ExistenciasImporte
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988064429,778988064429,"SPIN PAW PATROL CACHORROS TRANSFORMABLES",233.1,1,197.41,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988131503,778988131503,"SPIN PAW PATROL JUEGO DE MEMORIA",123.45,1,171.55,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988206553,778988206553,"SPIN PAW PATROL CACHORROS AEREOS",178.62,1,257.76,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988208649,778988208649,"SPIN PETS PELUCHE DE LUJO CON SONIDO",640.69,1,800.86,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988651315,778988651315,"SPIN MB MUÃƒâ€˜ECA DE 5",167.8,2,394.82,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L CENTRO",778988654514,778988654514,"SM MBP PELUCHE 8 ANIMAL",742.08,1,231.9,0,0
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988969137,778988969137,"SPIN HEDBANZ NIÃƒâ€˜OS",192.41,1,175.67,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988071380,778988071380,"SPIN DISNEY HIJOS VS PADRES",226.9,1,361.21,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988064009,778988064009,"SPIN PAW PATROL VEHICULOS BASICOS",1540,3,1031.91,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988066430,778988066430,"SPIN PAW PATROL PELUCHE BASICO",171.72,2,515.52,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988095737,778988095737,"SPIN DRAGONES DRAGON Y VIKINGO",266.8,1,318.1,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988213957,778988213957,"SPIN PAW PATROL PELUCHE DE LUJO",419.61,1,559.48,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988121610,778988121610,"SPIN BUNCHEMS SET CREATIVO",130.34,1,171.55,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988215548,778988215548,"SPIN BUNCHEMS SET DE VIAJE",275.17,1,232.18,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988208151,778988208151,"SPIN PETS FIGURA BASICA",191.72,1,137.07,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988208649,778988208649,"SPIN PETS PELUCHE DE LUJO CON SONIDO",640.69,1,800.86,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988624227,778988624227,"SM PAW PYS ADVENTRBAY 2VEH SET (LIVERPOO",477.8,1,637.07,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L INSURGENTES",778988618219,778988618219,"SM SFP MI MEJOR AMIGO MAX",3414.68,1,1628.45,428,995
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988034057,778988034057,"SPIN SEW COOL MAQUINA DE COSER MAGICA",746.23,1,843.97,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988033920,778988033920,"SPIN SEW COOL REPUESTOS DE TELA",83.41,1,111.21,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988064429,778988064429,"SPIN PAW PATROL CACHORROS TRANSFORMABLES",233.1,4,789.64,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988064009,778988064009,"SPIN PAW PATROL VEHICULOS BASICOS",1540,1,343.97,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988066379,778988066379,"SPIN PAW PATROL PILOTOS DE RESCATE",444.85,3,411.21,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988098264,778988098264,"SPIN PP CACHORROS TRANSFORMABLES JUMBO",323.45,1,499.14,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988133040,778988133040,"SPIN PAW PATROL SET CACHORROS METALICOS",2301.79,1,1068.1,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988101193,778988101193,"SPIN TMNT HSH CAMION ACORAZADO CON FIG",645.91,1,583.01,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988129494,778988129494,"SPIN PAW PATROL CACHORROS HEROES",123.45,1,171.55,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988121610,778988121610,"SPIN BUNCHEMS SET CREATIVO",130.34,2,343.1,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988215548,778988215548,"SPIN BUNCHEMS SET DE VIAJE",275.17,1,343.97,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988121733,778988121733,"SPIN BUNCHEMS MEGA SET",399.31,1,516.38,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988190678,778988190678,"SM PAW INX VEHÃƒ?CULOS BÃƒ?SICOS",233.79,1,292.24,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988654521,778988654521,"SM MBP FGR MASHA THE BEAR FIG",444.85,1,111.21,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L POLANCO",778988236277,778988236277,"SM STF KIT PROFESIONAL",167.46,1,223.28,449,859
2016-12-01,SPINMASTER,LIVERPOOL,"L SATELITE",778988064429,778988064429,"SPIN PAW PATROL CACHORROS TRANSFORMABLES",233.1,2,394.82,455,717
2016-12-01,SPINMASTER,LIVERPOOL,"L SATELITE",778988070024,778988070024,"SPIN PAW PATROL SET DE JUEGO DE LUJO",860.62,1,1343.97,455,717
2016-12-01,SPINMASTER,LIVERPOOL,"L SATELITE",778988133040,778988133040,"SPIN PAW PATROL SET CACHORROS METALICOS",2301.79,1,1068.1,455,717
2016-12-01,SPINMASTER,LIVERPOOL,"L SATELITE",778988140642,778988140642,"SPIN PAW PATROL TABLET DE RYDER",226.9,2,636.2,455,717
2016-12-01,SPINMASTER,LIVERPOOL,"L SATELITE",778988113936,778988113936,"SPIN PP CAMION PAW PATROLLER",2867.58,1,1878.45,455,717
